ID,desc,name,type,depertment,filePath,Priority,,
RQ-28,RQ-28's desc.,RQ-28's Name,Non-Functional,Team F,201.248.87.55/requirement/RQ-28,,,
RQ-29,RQ-29's desc.,RQ-29's Name,Functional,Team A,201.248.87.55/requirement/RQ-29,,,
RQ-30,RQ-30's desc.,RQ-30's Name,Functional,Team F,201.248.87.55/requirement/RQ-30,,,
RQ-31,RQ-31's desc.,RQ-31's Name,Non-Functional,Team C,201.248.87.55/requirement/RQ-31,,,
RQ-32,RQ-32's desc.,RQ-32's Name,Non-Functional,Team D,201.248.87.55/requirement/RQ-32,,,
RQ-33,RQ-33's desc.,RQ-33's Name,Functional,Team A,201.248.87.55/requirement/RQ-33,,,
RQ-34,RQ-34's desc.,RQ-34's Name,Functional,Team E,201.248.87.55/requirement/RQ-34,,,
RQ-35,RQ-35's desc.,RQ-35's Name,Functional,Team B,201.248.87.55/requirement/RQ-35,,,
RQ-36,RQ-36's desc.,RQ-36's Name,Functional,Team E,201.248.87.55/requirement/RQ-36,,,
RQ-37,RQ-37's desc.,RQ-37's Name,Non-Functional,Team C,201.248.87.55/requirement/RQ-37,,,
RQ-38,RQ-38's desc.,RQ-38's Name,Functional,Team A,201.248.87.55/requirement/RQ-38,,,
RQ-39,RQ-39's desc.,RQ-39's Name,Functional,Team D,201.248.87.55/requirement/RQ-39,,,
RQ-40,RQ-40's desc.,RQ-40's Name,Functional,Team A,201.248.87.55/requirement/RQ-40,,,
RQ-41,RQ-41's desc.,RQ-41's Name,Functional,Team C,201.248.87.55/requirement/RQ-41,,,
RQ-42,RQ-42's desc.,RQ-42's Name,Functional,Team D,201.248.87.55/requirement/RQ-42,,,
RQ-43,RQ-43's desc.,RQ-43's Name,Functional,Team A,201.248.87.55/requirement/RQ-43,,,
RQ-44,RQ-44's desc.,RQ-44's Name,Functional,Team B,201.248.87.55/requirement/RQ-44,,,
RQ-45,RQ-45's desc.,RQ-45's Name,Functional,Team F,201.248.87.55/requirement/RQ-45,,,
RQ-46,RQ-46's desc.,RQ-46's Name,Non-Functional,Team E,201.248.87.55/requirement/RQ-46,,,
RQ-47,RQ-47's desc.,RQ-47's Name,Functional,Team A,201.248.87.55/requirement/RQ-47,,,
RQ-48,RQ-48's desc.,RQ-48's Name,Non-Functional,Team B,201.248.87.55/requirement/RQ-48,,,
RQ-49,RQ-49's desc.,RQ-49's Name,Functional,Team B,201.248.87.55/requirement/RQ-49,,,
RQ-50,RQ-50's desc.,RQ-50's Name,Non-Functional,Team A,201.248.87.55/requirement/RQ-50,,,
RQ-51,RQ-51's desc.,RQ-51's Name,Non-Functional,Team D,201.248.87.55/requirement/RQ-51,,,
RQ-52,RQ-52's desc.,RQ-52's Name,Functional,Team F,201.248.87.55/requirement/RQ-52,,,
RQ-53,RQ-53's desc.,RQ-53's Name,Functional,Team D,201.248.87.55/requirement/RQ-53,,,
RQ-54,RQ-54's desc.,RQ-54's Name,Non-Functional,Team E,201.248.87.55/requirement/RQ-54,,,
RQ-55,RQ-55's desc.,RQ-55's Name,Non-Functional,Team C,201.248.87.55/requirement/RQ-55,,,
RQ-56,RQ-56's desc.,RQ-56's Name,Functional,Team D,201.248.87.55/requirement/RQ-56,,,
RQ-57,RQ-57's desc.,RQ-57's Name,Non-Functional,Team E,201.248.87.55/requirement/RQ-57,,,
RQ-58,RQ-58's desc.,RQ-58's Name,Functional,Team A,201.248.87.55/requirement/RQ-58,,,
RQ-59,RQ-59's desc.,RQ-59's Name,Non-Functional,Team B,201.248.87.55/requirement/RQ-59,,,
RQ-60,RQ-60's desc.,RQ-60's Name,Functional,Team E,201.248.87.55/requirement/RQ-60,,,
RQ-61,RQ-61's desc.,RQ-61's Name,Non-Functional,Team C,201.248.87.55/requirement/RQ-61,,,
RQ-62,RQ-62's desc.,RQ-62's Name,Non-Functional,Team E,201.248.87.55/requirement/RQ-62,,,
RQ-63,RQ-63's desc.,RQ-63's Name,Functional,Team B,201.248.87.55/requirement/RQ-63,,,
RQ-64,RQ-64's desc.,RQ-64's Name,Non-Functional,Team C,201.248.87.55/requirement/RQ-64,,,
RQ-65,RQ-65's desc.,RQ-65's Name,Functional,Team A,201.248.87.55/requirement/RQ-65,,,
RQ-66,RQ-66's desc.,RQ-66's Name,Functional,Team B,201.248.87.55/requirement/RQ-66,,,
